Order_ID,Order_Date,Ship_Date,Ship_Mode,Segment,Customer_ID,Region,Category,Sub_Category,Quantity,Discount,Sales,Profit,Year,Month,Quarter,Days_to_Ship,Profit_Margin
ORD-1000,2023-11-11,2023-11-18,Second Class,Corporate,CUST-0053,Central,Furniture,Chairs,10.0,0.1,287.9,42.48,2023,11,4,7,14.76
ORD-1001,2023-08-14,2023-08-19,Standard Class,Consumer,CUST-0059,East,Office Supplies,Art,1.0,0.0,13.29,-7.17,2023,8,3,5,-53.95
ORD-1002,2021-07-09,2021-07-15,First Class,Home Office,CUST-0051,South,Furniture,Furnishings,14.0,0.0,369.45,59.38,2021,7,3,6,16.07
ORD-1003,2022-08-24,2022-08-28,Same Day,Consumer,CUST-0092,Central,Office Supplies,Paper,14.0,0.0,41.92,,2022,8,3,4,
ORD-1004,2021-02-04,2021-02-10,Second Class,Consumer,CUST-0054,South,Furniture,Bookcases,1.0,0.0,43.23,1.68,2021,2,1,6,3.89
ORD-1005,2022-12-31,2023-01-04,First Class,Home Office,CUST-0190,West,Furniture,Tables,2.0,0.1,73.97,8.76,2022,12,4,4,11.84
ORD-1006,2023-12-13,2023-12-15,First Class,Consumer,CUST-0045,West,Technology,Copiers,9.0,0.0,317.11,48.26,2023,12,4,2,15.22
ORD-1007,2022-10-10,2022-10-17,First Class,Corporate,CUST-0005,West,Technology,Accessories,11.0,0.2,423.99,29.39,2022,10,4,7,6.93
ORD-1008,2021-07-20,2021-07-24,Standard Class,Home Office,CUST-0099,West,Office Supplies,Binders,2.0,0.1,15.41,-1.85,2021,7,3,4,-12.01
ORD-1009,2022-09-05,2022-09-12,Second Class,Corporate,CUST-0103,Central,Furniture,Tables,14.0,0.0,425.49,80.27,2022,9,3,7,18.87
ORD-1010,2023-06-11,2023-06-16,Same Day,Consumer,CUST-0132,Central,Technology,Accessories,3.0,0.0,,17.07,2023,6,2,5,
ORD-1011,2023-11-26,2023-12-01,Standard Class,Corporate,CUST-0062,Central,Office Supplies,Labels,7.0,0.4,24.21,-2.99,2023,11,4,5,-12.35
ORD-1012,2021-07-09,2021-07-10,Standard Class,Corporate,CUST-0003,South,Furniture,Tables,1.0,0.2,31.08,-4.83,2021,7,3,1,-15.54
ORD-1013,2022-11-15,2022-11-22,Standard Class,Consumer,CUST-0062,Central,Technology,Copiers,11.0,0.1,368.37,,2022,11,4,7,
ORD-1014,2023-08-10,2023-08-11,Standard Class,Consumer,CUST-0129,South,Office Supplies,Art,11.0,0.0,43.8,20.2,2023,8,3,1,46.12
ORD-1015,2021-09-04,2021-09-08,Same Day,Consumer,CUST-0069,West,Technology,Computers,7.0,0.1,154.87,24.0,2021,9,3,4,15.5
ORD-1016,2023-01-22,2023-01-23,Same Day,Corporate,CUST-0187,East,Furniture,Tables,9.0,0.0,145.85,23.42,2023,1,1,1,16.06
ORD-1017,2023-05-14,2023-05-21,Same Day,Corporate,CUST-0129,Central,Technology,Computers,4.0,0.0,123.11,25.24,2023,5,2,7,20.5
ORD-1018,2021-09-20,2021-09-24,Standard Class,Consumer,CUST-0048,West,Office Supplies,Paper,10.0,0.0,40.16,9.12,2021,9,3,4,22.71
ORD-1019,2023-10-12,2023-10-13,Same Day,Home Office,CUST-0054,West,Office Supplies,Labels,9.0,0.3,51.03,-2.8,2023,10,4,1,-5.49
ORD-1020,2021-04-14,2021-04-18,Same Day,Home Office,CUST-0189,Central,Office Supplies,Art,14.0,0.1,54.94,1.06,2021,4,2,4,1.93
ORD-1021,2023-03-27,2023-03-31,Standard Class,Consumer,CUST-0176,South,Technology,Phones,8.0,0.1,342.48,46.59,2023,3,1,4,13.6
ORD-1022,2023-01-20,2023-01-26,First Class,Consumer,CUST-0021,East,Technology,Accessories,6.0,0.3,189.18,7.74,2023,1,1,6,4.09
ORD-1023,2022-03-29,2022-04-02,Same Day,Consumer,CUST-0017,Central,Furniture,Furnishings,13.0,0.2,696.91,55.6,2022,3,1,4,7.98
ORD-1024,2022-06-02,2022-06-05,Standard Class,Consumer,CUST-0116,West,Office Supplies,Fasteners,12.0,0.4,52.81,,2022,6,2,3,
ORD-1025,2021-05-08,2021-05-10,Second Class,Home Office,CUST-0024,South,Technology,Phones,9.0,0.4,398.4,-9.65,2021,5,2,2,-2.42
ORD-1026,2021-06-04,2021-06-06,Second Class,Consumer,CUST-0176,East,Technology,Accessories,2.0,0.0,91.19,14.17,2021,6,2,2,15.54
ORD-1027,2023-07-10,2023-07-15,Standard Class,Consumer,CUST-0008,Central,Furniture,Tables,12.0,0.2,371.81,49.01,2023,7,3,5,13.18
ORD-1028,2023-04-14,2023-04-21,Second Class,Home Office,CUST-0058,South,Office Supplies,Fasteners,6.0,0.5,21.42,-3.77,2023,4,2,7,-17.6
ORD-1029,2023-12-14,2023-12-17,Same Day,Consumer,CUST-0005,South,Office Supplies,Paper,12.0,0.0,59.92,8.23,2023,12,4,3,13.73
ORD-1030,2021-02-16,2021-02-19,Second Class,Consumer,CUST-0183,West,Furniture,Tables,7.0,0.0,177.5,29.52,2021,2,1,3,16.63
